build_desc,aff_points,demo_points,destro_points,improved_life_tap,suppression,improved_corruption,malediction,soul_harvesting,improved_drains,improved_bane_of_agony,fel_concentration,amplify_curse,pandemic,malevolence,nightfall,curse_of_exhaustion,siphon_life,soul_siphon,shadow_mastery,wrack,improved_health_funnel,improved_imp,demonic_embrace,unholy_power,demonic_aegis,improved_voidwalker,fel_vitality,demonic_energies,improved_sayaad,demonic_sacrifice,master_summoner,decimation,fel_domination,demonic_brand,improved_felhunter,soul_link,demonic_knowledge,master_demonologist,demonic_pact,destructive_reach,improved_shadow_bolt,bane,molten_skin,cataclysm,aftermath,ruin,shadowburn,intensity,agonizing_flames,conflagrate,pyroclasm,bane_of_havoc,fire_and_brimstone,shadow_and_flame,incinerate,race_id,fight_duration,spell_power,shadow_power,fire_power,spell_hit_percent,spell_crit_percent,spell_haste_percent,intellect,spirit,stamina,max_mana,target_level,target_shadow_res,target_fire_res,curse_of_shadows,curse_of_elements,demon_setup,rotation_id,maintain_immolate,dps,dps_std,isb_uptime_percent,avg_life_taps,avg_mana_spent,avg_mana_gained
random_valid_51,4,24,23,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,1,3,1,2,3,0,0,0,0,1,0,0,0,0,0,2,4,5,3,3,2,1,1,0,0,1,0,1,0,0,0,2,72.1687,1096.54,38.4732,93.0532,4.17489,41.1783,9.84795,290.483,255.141,156.413,5750.25,63,109.618,17.2064,0,1,2,0,1,874.217,71.6535,71.9385,6,11004.2,5501.93
random_valid_51,14,19,18,2,3,4,1,0,1,1,0,0,2,0,0,0,0,0,0,0,2,3,3,3,1,0,2,0,1,0,2,1,1,0,0,0,0,0,0,2,2,5,2,0,5,0,1,0,1,0,0,0,0,0,0,0,178.191,1273.49,128.751,104.393,7.66712,43.9976,9.31883,316.636,223.262,528.898,6142.55,61,101.146,32.3535,1,1,2,0,0,1172.61,43.3265,75.9603,21,26750,20130.2
DP/AF Shadow,2,31,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,2,3,1,0,2,0,1,1,1,3,5,0,0,5,5,0,0,0,5,0,1,2,0,0,0,0,0,0,2,238.156,997.125,12.1955,58.3565,15.2753,7.79534,8.72257,380.064,160.042,436.579,7093.96,63,54.2539,107.573,1,0,3,0,0,842.083,40.9014,42.0719,31,31970,22819.3
random_valid_51,12,27,12,2,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,2,3,3,2,2,1,1,0,0,2,0,1,1,0,0,2,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,2,160.927,1230.56,42.9787,183.314,15.4752,41.3116,8.13708,365.098,246.888,124.027,6869.48,63,29.8372,3.60137,1,0,3,0,0,1070.66,40.5959,77.6721,13.96,22786,13812.5
NF/DS/Ruin,18,11,22,2,5,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,1,2,0,5,1,0,3,0,0,0,0,0,0,4,152.613,199.509,133.94,90.6619,1.45805,26.684,30.3348,110.558,316.139,445.522,3121.37,62,2.64646,113.569,1,0,3,0,0,609.728,33.2501,67.328,18,24504.1,19239
random_valid_51,15,22,14,2,1,5,0,1,3,0,1,1,1,0,0,0,0,0,0,0,2,3,3,5,2,1,0,2,0,1,1,0,0,0,0,1,1,0,0,2,2,5,1,3,0,1,0,0,0,0,0,0,0,0,0,1,144.454,1321.33,117.452,70.9723,0.0181308,17.6683,6.94334,129.79,199.714,557.209,3339.86,61,97.8598,73.7537,0,0,3,0,0,890.693,48.1392,56.2945,16.065,18599,14912
random_valid_51,8,27,16,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,2,3,2,1,1,2,2,1,1,2,0,0,0,0,2,5,2,1,1,4,0,1,0,0,0,0,0,0,0,0,3,263.619,842.758,45.4507,30.5874,4.61529,43.0789,11.2199,300.135,155.042,531.08,5895.03,63,33.6064,21.1769,0,0,3,0,0,658.022,31.7637,66.7674,31.81,36352.7,28151.5
Fire Destro+Suppression,10,11,30,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,5,1,0,3,1,0,1,3,5,0,0,242.334,421.646,186.082,168.174,4.89727,6.90832,5.74554,124.338,339.668,392.493,3258.07,62,93.7781,56.6907,1,0,1,0,1,572.559,17.9413,20.1942,31.125,36128.6,31336.8
random_valid_51,25,21,5,2,5,5,4,1,2,1,1,1,0,1,1,1,0,0,0,0,2,2,4,3,2,1,2,1,0,1,1,1,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,208.232,116.082,104.593,143.731,14.4347,9.19888,12.2187,292.148,201.673,120.434,5775.22,60,6.17363,29.528,0,0,3,0,0,282.743,9.96598,49.9009,21.13,27896.8,19908
random_valid_51,9,30,12,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,1,3,3,0,2,1,2,1,1,1,0,0,0,0,0,2,2,3,1,2,1,0,1,0,0,0,0,0,0,0,0,3,234.042,363.29,38.3417,93.0177,17.7545,20.8079,18.3008,373.61,335.613,458.798,6997.16,62,8.99084,90.3354,0,1,2,0,0,475.693,12.5266,64.0204,23,34595.3,25372.1
Fire DS No Corr,7,11,33,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,5,1,0,3,1,0,1,3,5,1,4,55.5914,945.029,3.92065,101.205,9.12977,38.6772,9.43953,391.117,133.874,259.422,7329.75,63,92.5631,115.557,0,0,3,2,1,939.817,54.7103,0,5,8629.64,4261.24
random_valid_51,22,20,9,2,5,3,3,0,3,0,1,1,2,1,0,0,0,1,0,0,2,2,2,3,2,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,248.115,1307.04,187.164,55.0257,15.6622,33.0319,17.2036,224.407,169.47,241.924,4759.1,63,48.391,103.481,1,1,2,0,0,1208.8,41.0527,76.7253,28,31692.1,25042.2
DS/AF,5,11,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,5,5,0,3,2,5,1,0,3,1,0,0,3,5,0,0,246.697,273.325,86.7986,115.865,4.21052,5.62639,33.8251,488,254.624,275.646,8713.01,60,110.312,80.601,1,1,3,0,1,568.823,21.0587,32.1117,32,38469.4,26584
random_valid_51,13,26,12,2,3,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,3,3,3,2,3,3,2,1,1,1,1,0,1,0,0,0,0,0,2,3,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,268.403,704.082,69.6152,31.23,6.79371,9.14012,12.2581,375.693,165.829,426.035,7028.39,61,46.4812,77.8655,1,0,3,0,0,653.379,20.9084,47.2723,26.355,32820.1,23483.3
random_valid_51,22,25,4,2,3,4,5,0,2,0,2,1,1,1,0,0,1,0,0,0,2,3,3,2,0,3,2,2,0,1,2,1,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.226,1264.46,6.7344,118.258,17.0681,7.7175,3.38507,205.836,323.211,354.805,4480.54,61,63.5291,78.9906,1,0,3,0,0,834.188,26.5729,38.4253,20.755,28196.8,22434.3
Deep Affliction,39,11,1,2,5,5,5,0,3,0,0,1,3,5,0,0,1,3,5,1,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0946,346.43,35.6924,69.3575,3.12863,41.0186,23.1243,362.04,302.327,193.316,6823.6,60,94.0708,27.932,1,0,3,16,0,606.66,23.9389,0,0,4131.32,36
Deep Affliction,40,11,0,2,5,5,5,0,3,0,1,1,3,5,0,1,1,3,4,1,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.947,1319.17,61.5233,68.8069,9.55322,36.2352,18.9031,368.344,51.7226,491.252,6918.15,61,27.9279,32.4316,0,0,3,16,0,1293.21,67.626,0,0,7401.32,72
Deep Affliction,40,11,0,2,5,5,5,0,3,0,0,1,3,5,0,1,1,3,5,1,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,235.736,250.81,50.3656,32.381,8.93594,53.9632,27.7603,131.559,120.563,142.946,3436.38,60,30.9581,73.2455,0,1,3,16,0,518.987,17.5029,0,14.11,16682,11863.7
random_valid_51,11,10,30,2,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,3,4,4,1,0,2,0,0,1,0,1,0,2,112.186,430.351,109.971,29.6234,4.09109,34.8421,23.7169,412.004,61.0843,359.658,7573.06,62,3.37611,31.0425,0,0,1,0,0,608.892,34.0419,75.8925,13,16984.5,9932.91
Aff Incinerate,14,6,31,2,5,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,5,1,0,2,1,0,1,3,5,1,3,293.643,1174.6,46.4993,129.644,14.4619,22.1606,18.0222,257.346,330.482,154.867,5253.18,62,21.9605,108.476,1,1,1,10,1,1075.27,27.6282,0,37,46833.8,40524.2
random_valid_51,24,23,4,2,5,5,2,1,1,1,3,1,1,2,0,0,0,0,0,0,2,3,1,4,1,3,0,2,0,1,2,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103.359,612.812,125.157,170.819,15.9362,54.1762,16.217,138.364,92.8173,595.223,3538.46,62,14.747,23.655,0,1,2,0,0,696.906,26.9563,0,11.98,13312.4,9594.29
DP/AF Fire,0,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,3,2,0,1,0,1,0,3,1,1,3,5,1,0,0,5,0,3,2,5,1,0,2,1,0,0,0,0,0,0,102.617,1373.68,15.6106,36.8425,3.5971,10.8534,28.9826,336.036,294.292,566.378,6433.54,60,80.7753,99.0586,0,1,6,3,0,1042.47,50.2597,0,10,15383.5,8722.92
SM/AF,31,1,19,2,5,5,4,0,1,0,0,0,3,4,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,1,0,3,0,0,0,0,0,0,1,37.8247,810.47,166.995,178.725,7.55221,5.61175,24.6547,343.712,277.958,191.912,6548.69,61,67.4829,40.2535,1,1,1,6,0,990.847,96.2556,41.9617,1,7375.95,1043.15
random_valid_51,12,31,8,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,2,3,1,2,3,1,2,1,0,1,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92.8228,1365.17,198.871,178.089,10.5416,27.9271,16.896,156.26,313.886,515.54,3736.9,63,70.669,30.5036,1,1,2,0,0,1224.87,57.0075,70.7171,10,14080.2,9794.75
DP/AF Corruption,1,31,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,2,3,1,0,2,0,0,0,1,3,5,1,1,3,5,1,1,0,5,0,0,3,0,0,0,0,0,0,2,172.421,955.843,4.00587,146.056,2.9838,29.4549,8.88457,139.001,195.472,438.097,3478.02,60,94.3759,110.772,0,0,6,3,0,849.277,42.6846,68.874,22.98,22985.9,17726.6
random_valid_51,20,23,8,2,4,3,1,0,3,1,0,1,2,2,0,1,0,0,0,0,2,3,1,2,2,1,2,1,3,1,1,2,0,0,2,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,125.992,378.301,185.803,86.6914,5.30863,26.3901,21.9078,415.261,188.112,482.072,7691.91,62,56.6321,15.4239,0,1,3,0,0,545.942,24.7434,72.206,10,17390.9,9185.34
Aff Incinerate,13,7,31,2,5,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,5,1,0,3,1,0,1,3,5,1,3,192.204,241.031,179.498,26.2706,5.99861,31.4353,7.28594,429.272,162.172,503.208,7832.08,62,76.9747,26.0583,0,1,1,2,1,567.345,19.7529,0,22,29865,19666.1
Fire DS No Corr,7,11,33,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,3,5,5,1,0,2,1,0,1,3,5,1,0,235.562,1214.55,168.723,102.883,3.13361,42.6667,28.9074,458.945,313.466,364.198,8277.17,60,49.9053,20.8343,1,1,4,2,1,1692.51,47.911,0,27.365,39348.3,29199.3
random_valid_51,9,21,21,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,0,0,2,2,1,2,2,0,0,0,1,0,0,0,2,5,4,2,1,1,4,1,0,0,1,0,0,0,0,0,0,107.328,1320.81,39.0231,197.104,9.10135,23.0466,12.7539,264.18,59.1088,200.976,5355.7,60,15.9044,107.09,0,0,3,0,1,965.799,58.9318,48.7803,12.365,15735.7,9418.72
random_valid_51,21,24,6,2,1,4,4,0,3,0,1,1,3,1,0,0,1,0,0,0,2,2,5,4,2,1,1,2,2,1,0,2,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,226.947,446.163,27.2694,182.204,3.6982,36.893,31.657,325.739,127.084,237.76,6279.08,61,68.9118,98.5751,1,1,3,0,0,602.825,22.1326,81.2803,29.865,32779.4,25162.1
random_valid_51,10,16,25,2,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,2,5,1,1,0,3,0,0,0,0,0,0,3,191.88,749.4,23.3536,35.6738,14.8058,13.2801,29.879,184.207,139.071,424.993,4156.11,60,77.1119,43.4005,0,1,2,0,0,682.599,29.1353,51.4313,27.995,29948.7,24207.7
Shadow and Flame Shadow 2,8,15,28,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,5,5,0,3,0,5,1,0,2,1,0,0,3,3,0,1,298.984,1375.69,117.998,112.926,11.789,29.3987,28.7398,209.955,310.955,318.369,4542.33,61,8.08864,58.0376,0,1,2,0,1,1342.24,45.1126,54.8737,40.22,46043.4,39122.7
random_valid_51,14,22,15,2,2,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,3,3,4,2,2,1,2,1,1,0,0,0,1,1,0,1,0,0,2,1,5,1,2,1,2,1,0,0,0,0,0,0,0,0,1,213.722,1267.44,87.9584,84.9995,8.89591,11.84,1.33367,406.031,112.984,444.268,7483.47,60,81.4796,61.6875,0,0,3,0,0,809.327,30.4,46.8656,25,29783.9,20597.5
random_valid_51,9,20,22,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,2,4,5,0,3,2,2,1,0,2,0,0,1,0,0,0,3,254.58,119.608,107.877,110.401,13.6966,36.0595,24.2531,262.644,61.4322,463.526,5332.66,60,19.4807,28.1084,0,1,3,0,0,398.933,14.6533,80.2372,38,36620.5,29312.5
random_valid_51,20,19,12,2,3,4,2,1,2,1,3,0,2,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,3,0,2,1,0,1,0,0,0,0,0,2,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,3,191.201,1130.76,114.158,31.0794,1.41812,11.0163,16.6371,255.178,310.316,489.819,5220.68,61,37.9715,70.1659,0,0,1,0,0,799.472,39.9635,51.7989,19,27051.1,20382.8
random_valid_51,10,23,18,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,0,2,2,2,1,2,0,1,1,0,1,0,0,0,2,2,5,1,2,4,0,1,0,0,1,0,0,0,0,0,1,224.575,212.412,177.361,160.73,7.80764,6.05728,24.9065,427.014,126.19,574.215,7798.21,63,40.8021,17.2288,0,1,3,0,1,360.305,14.3758,38.6125,31.055,34056.4,23889.9
random_valid_51,17,16,18,2,4,5,2,1,1,0,1,0,1,0,0,0,0,0,0,0,2,3,1,4,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,5,5,3,0,0,1,0,0,0,0,0,0,0,0,2,37.0722,1002.22,48.3165,173.809,17.7893,28.7797,1.23866,362.805,137.971,199.323,6835.08,63,51.3271,45.5305,0,0,3,0,0,772.604,49.0283,56.4299,0,5842.03,28
random_valid_51,8,36,7,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,5,2,3,3,0,2,1,2,0,1,3,1,1,2,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,271.768,404.173,89.125,130.945,16.7077,28.6197,15.3667,222.136,128.48,506.291,4725.04,61,34.9347,59.781,0,0,5,3,0,600.817,16.1792,72.8138,34.035,35456.2,28743.3
Deep Affliction,38,12,1,2,5,5,4,0,3,0,0,1,2,5,0,1,1,3,5,1,1,0,5,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,235.702,174.47,16.093,182.468,3.11223,19.5158,31.4218,127.814,89.4193,118.403,3310.2,61,113.093,14.3292,1,0,3,16,0,346.832,12.2602,0,17,17515.5,13599.4
random_valid_51,21,22,8,2,5,3,1,2,0,1,2,1,1,1,0,1,0,1,0,0,1,3,5,2,2,1,2,1,1,1,1,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,92.8761,608.368,43.6645,53.4916,6.6234,38.016,16.2673,477.983,215.707,459.828,8562.74,60,54.0379,47.6848,1,1,3,0,0,708.844,30.6428,80.9155,5,12830.6,4828.24
DP/AF Fire,1,30,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,3,2,0,1,0,0,0,3,0,1,3,5,0,0,0,5,0,3,2,5,1,0,3,1,0,0,0,0,0,1,86.1968,755.663,155.318,47.7253,5.97785,35.94,30.0599,404.412,277.919,309.02,7459.18,62,42.8424,87.657,0,0,3,0,1,905.12,54.1931,0,7.085,14089.9,6061.34
random_valid_51,21,16,14,2,4,5,1,1,2,2,0,0,1,3,0,0,0,0,0,0,2,2,3,3,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,120.175,1196.14,84.442,10.8577,17.056,45.445,20.1607,299.618,131.421,417.954,5887.27,62,61.9505,39.2467,1,1,1,0,0,1148.57,45.6568,88.0419,13.02,16963.9,11055
DS/Searing Pain,6,12,33,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,2,5,0,3,5,5,1,0,3,1,0,0,2,4,0,2,251.908,500.469,46.1237,169.256,8.5216,53.9873,29.7012,385.966,301.216,440.453,7182.49,60,7.73961,94.4115,0,1,2,0,1,900.384,22.7963,80.0539,31,39542.7,29908.5
random_valid_51,14,23,14,2,2,3,2,0,2,2,0,1,0,0,0,0,0,0,0,0,2,3,5,3,1,0,2,1,2,1,1,1,0,0,0,0,1,0,0,2,3,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,55.9247,413.303,151.618,22.6203,14.2267,52.9666,32.9498,264.933,291.723,119.51,5366.99,62,13.5904,117.45,0,0,3,0,0,655.013,32.8577,83.3433,3,9215.9,3146.2
Shadow and Flame Shadow 2,8,14,29,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,5,1,0,3,1,0,1,3,4,0,1,175.267,453.123,148.903,193.63,3.99897,33.1826,29.9099,196.571,118.513,245.67,4341.57,60,111.542,45.8942,1,1,2,0,1,852.721,35.3223,53.0282,27.86,27570.5,21178.9
random_valid_51,25,14,12,2,4,5,1,1,3,2,3,1,1,1,1,0,0,0,0,0,2,3,3,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,144.709,1351.28,92.2343,183.124,11.6142,7.3569,0.0924543,448.318,306.553,410.194,8117.76,61,4.52303,44.4908,1,1,1,0,0,932.156,50.7187,51.4441,10.02,18379.4,10735.8
DP/AF Shadow,1,31,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,2,3,1,0,2,0,0,0,1,3,5,1,0,5,5,0,1,0,5,0,0,3,0,0,0,0,0,0,0,127.738,117.591,117.702,174.202,7.9329,37.0626,9.67888,183.883,212.992,335.27,4151.25,63,76.1454,81.4135,1,1,6,3,0,500.631,31.4018,74.7822,15.015,17263.8,11856.6
random_valid_51,9,26,16,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,2,1,3,1,2,1,2,1,0,0,1,0,0,0,0,2,3,4,1,3,1,2,0,0,0,0,0,0,0,0,0,1,204.341,611.338,16.7327,20.5803,9.95614,45.5059,28.0778,457.426,84.0727,432.201,8254.39,63,14.1683,68.7331,0,1,3,0,0,682.041,28.6852,90.5861,23,29229.2,18157.2
