id,name,required_level,item_level,quality,subclass,icon,use_description,reagents_summary,link
2454,Elixir of Minor Strength,3,5,Common,Elixirs,inv_potion_56,Use: Increases Strength by 4 for 1 hour. (3 Sec Cooldown),"1x Earthroot, 1x Silverleaf, 1x Empty Vial",https://www.wowhead.com/forever/item=2454/elixir-of-minor-strength
250344,Elixir of Minor Spirit,5,5,Common,Elixirs,inv_potion_113,Use: Drink to increase your Spirit by 3. Lasts for 30 min. (3 Sec Cooldown),"2x Earthroot, 1x Peacebloom, 1x Empty Vial",https://www.wowhead.com/forever/item=250344/elixir-of-minor-spirit
250330,Minor Cleric's Elixir,5,5,Common,Elixirs,trade_alchemy_dpotion_a17,Use: Drink to increase healing done by spells and effects by up to 10. Lasts 30 min. (3 Sec Cooldown),"2x Mageroyal, 1x Bruiseweed, 1x Empty Vial",https://www.wowhead.com/forever/item=250330/minor-clerics-elixir
250339,Minor Mageblood Elixir,5,5,Common,Elixirs,trade_alchemy_dpotion_a12,Use: Drink to regenerate 3 mana every 5 seconds. Lasts for 30 min. (3 Sec Cooldown),"2x Mageroyal, 1x Empty Vial",https://www.wowhead.com/forever/item=250339/minor-mageblood-elixir
3382,Minor Troll's Blood Elixir,6,8,Common,Elixirs,inv_potion_78,Use: Regenerate 2 health every 5 sec for 1 hour. (3 Sec Cooldown),"1x Peacebloom, 2x Earthroot, 1x Empty Vial",https://www.wowhead.com/forever/item=3382/minor-trolls-blood-elixir
5996,Draught of Water Breathing,8,18,Common,Elixirs,inv_potion_17,Use: Allows the Imbiber to breathe water for 30 min. (3 Sec Cooldown),"1x Stranglekelp, 2x Blackmouth Oil, 1x Empty Vial",https://www.wowhead.com/forever/item=5996/draught-of-water-breathing
6662,Elixir of Giant Growth,8,18,Common,Elixirs,inv_potion_10,Use: Your size is increased and your Strength goes up by 8 to match your new size.  Lasts 2 min. (3 Sec Cooldown),"1x Deviate Fish, 1x Earthroot, 1x Empty Vial",https://www.wowhead.com/forever/item=6662/elixir-of-giant-growth
3383,Elixir of Wisdom,10,20,Common,Elixirs,inv_potion_06,Use: Increases Intellect by 6 for 1 hour. (3 Sec Cooldown),"1x Mageroyal, 2x Briarthorn, 1x Empty Vial",https://www.wowhead.com/forever/item=3383/elixir-of-wisdom
3388,Lesser Troll's Blood Elixir,15,25,Common,Elixirs,inv_potion_79,Use: Regenerate 6 health every 5 sec for 1 hour. (3 Sec Cooldown),"2x Bruiseweed, 2x Briarthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=3388/lesser-trolls-blood-elixir
3389,Elixir of Lesser Defense,16,26,Common,Elixirs,inv_potion_64,Use: Increases armor by 150 for 1 hour. (3 Sec Cooldown),"1x Wild Steelbloom, 1x Stranglekelp, 1x Leaded Vial",https://www.wowhead.com/forever/item=3389/elixir-of-lesser-defense
6373,Elixir of Fire Power,18,28,Common,Elixirs,inv_potion_55,Use: Increases spell fire damage by up to 10 for 30 min. (3 Sec Cooldown),"2x Fire Oil, 1x Kingsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=6373/elixir-of-fire-power
3390,Elixir of Lesser Agility,18,28,Common,Elixirs,inv_potion_92,Use: Increases Agility by 8 for 1 hour. (3 Sec Cooldown),"1x Wild Steelbloom, 1x Swiftthistle, 1x Leaded Vial",https://www.wowhead.com/forever/item=3390/elixir-of-lesser-agility
3391,Elixir of Ogre Strength,20,30,Common,Elixirs,inv_potion_57,Use: Increases Strength by 8 for 1 hour. (3 Sec Cooldown),"1x Earthroot, 1x Kingsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=3391/elixir-of-ogre-strength
3825,Elixir of Lesser Fortitude,25,35,Common,Elixirs,inv_potion_43,Use: Increases the player's maximum health by 120 for 1 hour. (3 Sec Cooldown),"1x Wild Steelbloom, 1x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=3825/elixir-of-lesser-fortitude
250353,Elixir of Lesser Intellect,25,25,Common,Elixirs,inv_potion_43,Use: Drink to increase your Intellect by 6. Lasts for 30 min. (3 Sec Cooldown),"3x Kingsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=250353/elixir-of-lesser-intellect
250345,Elixir of Lesser Spirit,25,25,Common,Elixirs,inv_potion_114,Use: Drink to increase your Spirit by 6. Lasts for 30 min. (3 Sec Cooldown),"2x Wild Steelbloom, 1x Mageroyal, 1x Empty Vial",https://www.wowhead.com/forever/item=250345/elixir-of-lesser-spirit
250342,Lesser Arcane Elixir,25,25,Common,Elixirs,inv_potion_107,Use: Drink to increase spell damage by up to 15. Lasts for 30 min. (3 Sec Cooldown),"4x Kingsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=250342/lesser-arcane-elixir
250331,Lesser Cleric's Elixir,25,25,Common,Elixirs,inv_potion_128,Use: Drink to increase healing done by spells and effects by up to 20. Lasts 30 min. (3 Sec Cooldown),"2x Kingsblood, 2x Liferoot, 1x Leaded Vial",https://www.wowhead.com/forever/item=250331/lesser-clerics-elixir
250340,Lesser Mageblood Elixir,25,25,Common,Elixirs,inv_potion_126,Use: Drink to regenerate 6 mana every 5 seconds. Lasts for 30 min. (3 Sec Cooldown),"3x Kingsblood, 1x Empty Vial",https://www.wowhead.com/forever/item=250340/lesser-mageblood-elixir
3826,Troll's Blood Elixir,26,36,Common,Elixirs,inv_potion_80,Use: Regenerate 12 health every 5 sec for 1 hour. (3 Sec Cooldown),"1x Liferoot, 1x Bruiseweed, 1x Leaded Vial",https://www.wowhead.com/forever/item=3826/trolls-blood-elixir
8949,Elixir of Agility,27,37,Common,Elixirs,inv_potion_93,Use: Increases Agility by 15 for 1 hour. (3 Sec Cooldown),"1x Stranglekelp, 1x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=8949/elixir-of-agility
17708,Elixir of Frost Power,28,38,Common,Elixirs,inv_potion_76,Use: Increases spell frost damage by up to 15 for 30 min. (3 Sec Cooldown),"2x Wintersbite, 1x Khadgar's Whisker, 1x Leaded Vial",https://www.wowhead.com/forever/item=17708/elixir-of-frost-power
217398,Lesser Arcane Elixir,28,38,Common,Elixirs,inv_potion_108,Use: Increases spell damage by up to 14 for 30 min. (3 Sec Cooldown),"1x Kingsblood, 1x Goldthorn, 1x Crystal Vial",https://www.wowhead.com/forever/item=217398/lesser-arcane-elixir
3828,Draught of Detect Lesser Invisibility,29,39,Common,Elixirs,inv_potion_01,Use: Grants detect lesser invisibility for 10 min. (3 Sec Cooldown),"1x Khadgar's Whisker, 1x Fadeleaf, 1x Leaded Vial",https://www.wowhead.com/forever/item=3828/draught-of-detect-lesser-invisibility
8951,Elixir of Defense,29,39,Common,Elixirs,inv_potion_65,Use: Increases armor by 250 for 1 hour. (3 Sec Cooldown),"1x Wild Steelbloom, 1x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=8951/elixir-of-defense
10592,Catseye Draught,30,40,Common,Elixirs,inv_potion_36,Use: Slightly increases your stealth detection for 10 min. (3 Sec Cooldown),"1x Goldthorn, 1x Fadeleaf, 1x Leaded Vial",https://www.wowhead.com/forever/item=10592/catseye-draught
18294,Draught of Greater Water Breathing,35,45,Common,Elixirs,inv_potion_05,Use: Allows the Imbiber to breathe water for 1 hour. (3 Sec Cooldown),"1x Ichor of Undeath, 2x Purple Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=18294/draught-of-greater-water-breathing
9154,Draught of Detect Undead,36,46,Common,Elixirs,inv_potion_53,Use: Shows the location of all nearby undead on the minimap for 1 hour. (3 Sec Cooldown),"1x Arthas' Tears, 1x Crystal Vial",https://www.wowhead.com/forever/item=9154/draught-of-detect-undead
9155,Arcane Elixir,37,47,Common,Elixirs,inv_potion_30,Use: Increases spell damage by up to 20 for 30 min. (3 Sec Cooldown),"1x Blindweed, 1x Goldthorn, 1x Crystal Vial",https://www.wowhead.com/forever/item=9155/arcane-elixir
9179,Elixir of Greater Intellect,37,47,Common,Elixirs,inv_potion_10,Use: Increases Intellect by 25 for 1 hour. (3 Sec Cooldown),"1x Blindweed, 1x Khadgar's Whisker, 1x Crystal Vial",https://www.wowhead.com/forever/item=9179/elixir-of-greater-intellect
9197,Draught of Dream Vision,38,48,Common,Elixirs,inv_potion_14,Use: Gives you a dream vision that lets you explore areas that are too dangerous to explore in person. (3 Sec Cooldown),"3x Purple Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=9197/draught-of-dream-vision
9187,Elixir of Greater Agility,38,48,Common,Elixirs,inv_potion_94,Use: Increases Agility by 25 for 1 hour. (3 Sec Cooldown),"1x Sungrass, 1x Goldthorn, 1x Crystal Vial",https://www.wowhead.com/forever/item=9187/elixir-of-greater-agility
13447,Elixir of the Sages,38,44,Common,Elixirs,inv_potion_29,Use: Increases Intellect and Spirit by 18 for 1 hour. (3 Sec Cooldown),"1x Dreamfoil, 2x Plaguebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=13447/elixir-of-the-sages
9088,Gift of Arthas,38,48,Common,Elixirs,inv_potion_28,"Use: Increases resistance to shadow by 10.  If an enemy strikes the imbiber, the attacker has a 30% chance of being inflicted with disease that increases their damage taken by 8 for 3 min.  Lasts for 30 min. (Proc chance: 30%) (3 Sec Cooldown)","1x Arthas' Tears, 1x Blindweed, 1x Crystal Vial",https://www.wowhead.com/forever/item=9088/gift-of-arthas
9233,Draught of Detect Demon,40,50,Common,Elixirs,inv_potion_53,Use: Shows the location of all nearby demons on the minimap for 1 hour. (3 Sec Cooldown),"2x Gromsblood, 1x Crystal Vial",https://www.wowhead.com/forever/item=9233/draught-of-detect-demon
21546,Elixir of Holy Power,40,50,Common,Elixirs,inv_potion_62,Use: Increases spell Holy damage by up to 40 for 30 min. (3 Sec Cooldown),"3x Fire Oil, 3x Firebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=21546/elixir-of-holy-power
9264,Elixir of Shadow Power,40,50,Common,Elixirs,inv_potion_48,Use: Increases spell shadow damage by up to 40 for 30 min. (3 Sec Cooldown),"3x Ghost Mushroom, 1x Crystal Vial",https://www.wowhead.com/forever/item=9264/elixir-of-shadow-power
20007,Mageblood Elixir,40,50,Common,Elixirs,inv_potion_137,Use: Regenerate 12 mana per 5 sec for 1 hour. (3 Sec Cooldown),"1x Dreamfoil, 2x Plaguebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=20007/mageblood-elixir
9224,Potion of Demonslaying,40,50,Common,Elixirs,inv_potion_27,Use: Increases Spell Damage by 108 and Attack Power by 185 against Demons.  Lasts 2 min.,"1x Gromsblood, 1x Ghost Mushroom, 1x Crystal Vial",https://www.wowhead.com/forever/item=9224/potion-of-demonslaying
13445,Elixir of Greater Defense,43,53,Common,Elixirs,inv_potion_66,Use: Increases armor by 450 for 1 hour. (3 Sec Cooldown),"2x Stonescale Oil, 1x Sungrass, 1x Crystal Vial",https://www.wowhead.com/forever/item=13445/elixir-of-greater-defense
250332,Cleric's Elixir,45,45,Common,Elixirs,inv_potion_139,Use: Drink to increase healing done by spells and effects by up to 30. Lasts 30 min. (3 Sec Cooldown),"2x Wintersbite, 2x Firebloom, 1x Leaded Vial",https://www.wowhead.com/forever/item=250332/clerics-elixir
246948,Distilled Firewater,45,45,Common,Elixirs,inv_potion_92,Use: Increases your melee attack power by 35 and size for 20 min. (1 Min Cooldown),"4x Wintersbite, 2x Gromsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=246948/distilled-firewater
250327,Draught of Predatory Senses,45,45,Common,Elixirs,trade_alchemy_dpotion_d12,Use: Drink to significantly increase your stealth detection while you are not moving. Nearby stealthed enemies may reveal a heat trail when they move. Lasts for 30 min.,"2x Fadeleaf, 2x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=250327/draught-of-predatory-senses
13453,Elixir of Brute Force,45,55,Common,Elixirs,inv_potion_40,Use: Increases Strength and Stamina by 18 for 1 hour. (3 Sec Cooldown),"2x Gromsblood, 2x Plaguebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=13453/elixir-of-brute-force
250334,Elixir of Fortitude,45,45,Common,Elixirs,inv_potion_44,Use: Drink to increase your maximum health by 200. Lasts for 30 min. (3 Sec Cooldown),"4x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=250334/elixir-of-fortitude
250354,Elixir of Intellect,45,45,Common,Elixirs,inv_potion_44,Use: Drink to increase your Intellect by 10. Lasts for 30 min. (3 Sec Cooldown),"3x Khadgar's Whisker, 1x Leaded Vial",https://www.wowhead.com/forever/item=250354/elixir-of-intellect
250346,Elixir of Spirit,45,45,Common,Elixirs,inv_potion_115,Use: Drink to increase your Spirit by 10. Lasts for 30 min. (3 Sec Cooldown),"3x Khadgar's Whisker, 1x Kingsblood, 1x Leaded Vial",https://www.wowhead.com/forever/item=250346/elixir-of-spirit
250349,Elixir of Strength,45,45,Common,Elixirs,inv_potion_58,Use: Drink to increase your Strength by 10. Lasts for 30 min. (3 Sec Cooldown),"3x Wild Steelbloom, 1x Goldthorn, 1x Leaded Vial",https://www.wowhead.com/forever/item=250349/elixir-of-strength
13452,Elixir of the Mongoose,46,56,Common,Elixirs,inv_potion_32,Use: Increases Agility by 25 and chance to get a critical hit by 2%. Lasts for 30 min. (3 Sec Cooldown),"2x Mountain Silversage, 2x Plaguebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=13452/elixir-of-the-mongoose
13454,Greater Arcane Elixir,47,57,Common,Elixirs,inv_potion_109,Use: Increases spell damage by up to 35 for 1 hour. (3 Sec Cooldown),"3x Dreamfoil, 1x Mountain Silversage, 1x Crystal Vial",https://www.wowhead.com/forever/item=13454/greater-arcane-elixir
9206,Elixir of Greater Strength,48,48,Common,Elixirs,inv_potion_59,Use: Increases your Strength by 25 for 1 hour. (3 Sec Cooldown),"1x Sungrass, 1x Gromsblood, 1x Crystal Vial",https://www.wowhead.com/forever/item=9206/elixir-of-greater-strength
20004,Major Troll's Blood Elixir,53,58,Common,Elixirs,inv_potion_82,Use: Regenerate 20 health every 5 sec for 1 hour. (3 Sec Cooldown),"1x Gromsblood, 2x Plaguebloom, 1x Crystal Vial",https://www.wowhead.com/forever/item=20004/major-trolls-blood-elixir
250328,Elixir of Cunning,55,55,Common,Elixirs,inv_potion_166,Use: Drink to gain 25 Agility and Intellect for 30 min. Lasts for 30 min. (3 Sec Cooldown),"3x Dreamfoil, 2x Gromsblood, 1x Crystal Vial",https://www.wowhead.com/forever/item=250328/elixir-of-cunning
250350,Elixir of Ferocity,55,55,Common,Elixirs,inv_potion_161,Use: Drink to increase your Strength and Agility by 18. Lasts for 30 min. (3 Sec Cooldown),"3x Gromsblood, 1x Ghost Mushroom, 1x Crystal Vial",https://www.wowhead.com/forever/item=250350/elixir-of-ferocity
250335,Elixir of Greater Fortitude,55,55,Common,Elixirs,inv_potion_45,Use: Drink to increase your maximum health by 400. Lasts for 30 min. (3 Sec Cooldown),"4x Sungrass, 1x Crystal Vial",https://www.wowhead.com/forever/item=250335/elixir-of-greater-fortitude
250347,Elixir of Greater Spirit,55,55,Common,Elixirs,inv_potion_116,Use: Drink to increase your Spirit by 18. Lasts for 30 min. (3 Sec Cooldown),"3x Arthas' Tears, 2x Purple Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=250347/elixir-of-greater-spirit
250343,Elixir of Nature Power,55,55,Common,Elixirs,inv_potion_97,Use: Drink to increase nature spell damage by up to 40. Lasts for 30 min. (3 Sec Cooldown),"4x Golden Sansam, 2x Sungrass, 1x Crystal Vial",https://www.wowhead.com/forever/item=250343/elixir-of-nature-power
250338,Elixir of Sages,55,55,Common,Elixirs,inv_potion_165,Use: Drink to increase your Spirit by 25 and chance to critically hit by 2%. Lasts for 30 min. (3 Sec Cooldown),"4x Dreamfoil, 2x Golden Sansam, 1x Imbued Vial",https://www.wowhead.com/forever/item=250338/elixir-of-sages
250336,Elixir of Wicked Regeneration,55,55,Common,Elixirs,trade_alchemy_dpotion_a22,Use: Drink to restore 9 health and 10 mana every 5 sec. Lasts for 30 min. (3 Sec Cooldown),"3x Golden Sansam, 2x Dreamfoil, 1x Crystal Vial",https://www.wowhead.com/forever/item=250336/elixir-of-wicked-regeneration
250351,Elixir of the Grizzly,55,55,Common,Elixirs,inv_potion_160,Use: Drink to increase your Strength by 25 and chance to critically hit by 2%. Lasts for 30 min. (3 Sec Cooldown),"3x Gromsblood, 1x Blindweed, 1x Crystal Vial",https://www.wowhead.com/forever/item=250351/elixir-of-the-grizzly
250337,Elixir of the Owl,55,55,Common,Elixirs,inv_potion_164,Use: Drink to increase your Intellect by 25 and chance to critically hit by 2%. Lasts for 30 min. (3 Sec Cooldown),"4x Dreamfoil, 2x Mountain Silversage, 1x Imbued Vial",https://www.wowhead.com/forever/item=250337/elixir-of-the-owl
250329,Elixir of the Phalanx,55,55,Common,Elixirs,trade_alchemy_dpotion_a25,Use: Drink to gain 400 maximum health and 500 armor for 30 min. Lasts for 30 min. (3 Sec Cooldown),"2x Golden Sansam, 4x Sungrass, 1x Crystal Vial",https://www.wowhead.com/forever/item=250329/elixir-of-the-phalanx
250348,Elixir of the Whale,55,55,Common,Elixirs,inv_potion_163,Use: Drink to increase your Spirit by 25 and chance to critically hit by 2%. Lasts for 30 min. (3 Sec Cooldown),"3x Dreamfoil, 1x Gromsblood, 1x Crystal Vial",https://www.wowhead.com/forever/item=250348/elixir-of-the-whale
250333,Greater Cleric's Elixir,55,55,Common,Elixirs,inv_potion_150,Use: Drink to increase healing done by spells and effects by up to 40. Lasts 30 min. (3 Sec Cooldown),"3x Arthas' Tears, 1x Purple Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=250333/greater-clerics-elixir
250341,Greater Mageblood Elixir,55,55,Common,Elixirs,inv_potion_168,Use: Drink to regenerate 20 mana every 5 seconds. Lasts for 30 min. (3 Sec Cooldown),"3x Blindweed, 2x Arthas' Tears, 1x Crystal Vial",https://www.wowhead.com/forever/item=250341/greater-mageblood-elixir
13513,Flask of Chromatic Resistance,50,60,Common,Flasks,inv_potion_48,Use: Increases your resistance to all schools of magic by 25 for 2 hrs. You can only have the effect of one flask at a time. This effect persists through death and stacks with all other resistance spells and items. (3 Sec Cooldown),"30x Icecap, 10x Mountain Silversage, 1x Black Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=13513/flask-of-chromatic-resistance
13511,Flask of Distilled Wisdom,50,60,Common,Flasks,inv_potion_97,Use: Increases the player's maximum Mana by 2000 for 2 hrs. You can only have the effect of one flask at a time. This effect persists through death. (3 Sec Cooldown),"30x Dreamfoil, 10x Icecap, 1x Black Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=13511/flask-of-distilled-wisdom
13512,Flask of Supreme Power,50,60,Common,Flasks,inv_potion_41,Use: Increases damage done by magical spells and effects by up to 150 for 2 hrs. You can only have the effect of one flask at a time. This effect persists through death. (3 Sec Cooldown),"30x Dreamfoil, 10x Mountain Silversage, 1x Black Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=13512/flask-of-supreme-power
13510,Flask of the Titans,50,60,Common,Flasks,inv_potion_62,Use: Increases the player's maximum health by 1200 for 2 hrs. You can only have the effect of one flask at a time. This effect persists through death. (3 Sec Cooldown),"30x Gromsblood, 10x Stonescale Oil, 1x Black Lotus, 1x Crystal Vial",https://www.wowhead.com/forever/item=13510/flask-of-the-titans
274273,Flask of Natural Accuracy,55,60,Uncommon,Flasks,inv_potionc_5,"Use: Increases your Stamina by 60. While in Mount Hyjal, Hyjal Summit, and the Barrow Deeps, you also gain 5% Hit Chance.","1x Death Lotus, 12x Demonsage, 9x Golden Sansam, 1x Imbued Vial",https://www.wowhead.com/forever/item=274273/flask-of-natural-accuracy
274274,Flask of Natural Aggression,55,60,Uncommon,Flasks,inv_potionc_1,"Use: Increases your Stamina by 60. While in Mount Hyjal, Hyjal Summit, and the Barrow Deeps, you also gain 4% Critical Strike Chance.","1x Death Lotus, 18x Demonsage, 6x Mountain Silversage, 1x Imbued Vial",https://www.wowhead.com/forever/item=274274/flask-of-natural-aggression
274275,Flask of Natural Precision,55,60,Uncommon,Flasks,inv_potionc_3,"Use: Increases your Stamina by 60. While in Mount Hyjal, Hyjal Summit, and the Barrow Deeps, you also gain 5% reduced chance to be dodged or parried.","1x Death Lotus, 12x Marefoil, 9x Dreamfoil, 1x Imbued Vial",https://www.wowhead.com/forever/item=274275/flask-of-natural-precision
274276,Flask of Natural Swiftness,55,60,Uncommon,Flasks,inv_potionc_4,"Use: Increases your Stamina by 60. While in Mount Hyjal, Hyjal Summit, and the Barrow Deeps, you also gain 5% Haste.","1x Death Lotus, 18x Marefoil, 6x Icecap, 1x Imbued Vial",https://www.wowhead.com/forever/item=274276/flask-of-natural-swiftness
3824,Shadow Oil,24,34,Common,Item Enhancements (Temporary),inv_potion_23,Use: When applied to a melee weapon it gives a 15% chance of casting Shadowbolt III at the opponent when it hits.  Lasts 30 minutes.,"4x Fadeleaf, 4x Grave Moss, 1x Leaded Vial",https://www.wowhead.com/forever/item=3824/shadow-oil
3829,Frost Oil,30,40,Common,Item Enhancements (Temporary),inv_potion_20,Use: When applied to a melee weapon it gives a 10% chance of casting Frostbolt at the opponent when it hits.  Lasts 30 minutes.,"4x Khadgar's Whisker, 2x Wintersbite, 1x Leaded Vial",https://www.wowhead.com/forever/item=3829/frost-oil
12360,Arcanite Bar,1,55,Uncommon,Metal & Stone,inv_misc_stonetablet_05,,"1x Thorium Bar, 1x Arcane Crystal",https://www.wowhead.com/forever/item=12360/arcanite-bar
3577,Gold Bar,1,30,Uncommon,Metal & Stone,inv_ingot_03,,1x Gold Ore,https://www.wowhead.com/forever/item=3577/gold-bar
251290,Legionite Bar,1,60,Uncommon,Metal & Stone,inv_blacksmithing_70_demonsteelbar,,"1x Heavy Thorium Bar, 1x Fel Crystal",https://www.wowhead.com/forever/item=251290/legionite-bar
6037,Truesilver Bar,1,50,Uncommon,Metal & Stone,inv_ingot_08,,1x Truesilver Ore,https://www.wowhead.com/forever/item=6037/truesilver-bar
9149,Philosopher's Stone,1,45,Common,Miscellaneous (Armor),inv_misc_orb_01,,"4x Iron Bar, 1x Black Vitriol, 4x Purple Lotus, 4x Firebloom",https://www.wowhead.com/forever/item=9149/philosophers-stone
19931,Gurubashi Mojo Madness,1,1,Rare,Other,inv_poison_mindnumbing,Use: Extinguishes the Brazier of Madness.,"1x Blood of Heroes, 1x Massive Mojo, 6x Powerful Mojo, 1x Black Lotus",https://www.wowhead.com/forever/item=19931/gurubashi-mojo-madness
6370,Blackmouth Oil,1,15,Common,Other (Trade Goods),inv_drink_12,,"2x Oily Blackmouth, 1x Empty Vial",https://www.wowhead.com/forever/item=6370/blackmouth-oil
249409,Cerulean Dye,1,25,Uncommon,Other (Trade Goods),inv_inscription_inkcerulean01,,"2x Frilled Lichen, 1x Empty Vial",https://www.wowhead.com/forever/item=249409/cerulean-dye
6371,Fire Oil,1,25,Common,Other (Trade Goods),inv_potion_38,,"2x Firefin Snapper, 1x Empty Vial",https://www.wowhead.com/forever/item=6371/fire-oil
9210,Ghost Dye,1,49,Common,Other (Trade Goods),inv_poison_mindnumbing,,"2x Ghost Mushroom, 1x Purple Dye, 1x Crystal Vial",https://www.wowhead.com/forever/item=9210/ghost-dye
249430,Magenta Dye,1,45,Uncommon,Other (Trade Goods),inv_inscription_inkpurple02,,"2x Rosecap, 1x Leaded Vial",https://www.wowhead.com/forever/item=249430/magenta-dye
13423,Stonescale Oil,1,50,Common,Other (Trade Goods),inv_potion_68,,"1x Stonescale Eel, 1x Leaded Vial",https://www.wowhead.com/forever/item=13423/stonescale-oil
249410,Sulfuric Acid,1,25,Uncommon,Other (Trade Goods),trade_alchemy,,"2x Pyrite, 1x Empty Vial",https://www.wowhead.com/forever/item=249410/sulfuric-acid
249431,Viridian Dye,1,60,Uncommon,Other (Trade Goods),inv_inscription_inkgreen01,,"2x Stranglevine, 1x Crystal Vial",https://www.wowhead.com/forever/item=249431/viridian-dye
279990,Alchemy Laboratory,1,60,Common,Other Consumables,10prof_portabletable_alchemy01,"Use: Places an Alchemy Laboratory usable for recipes that require it, and provides all of the benefits of a Mana Well. Requires a Campfire nearby.","1x Lich's Index Finger, 1x Crystal Vial, 2x Dreamfoil",https://www.wowhead.com/forever/item=279990/alchemy-laboratory
279970,Fermenter,1,28,Common,Other Consumables,inv_alchemy_90_cauldron,"Use: Places a fermenter that allows the creation of certain reagents, and provides all of the benefits of a Mana Well. Requires a Campfire nearby. May be placed over a Mana Well to replace it. All camping features share a cooldown of 1 hour. (1 Hour Cooldown)","1x Leaded Vial, 1x Kingsblood, 1x Swiftthistle",https://www.wowhead.com/forever/item=279970/fermenter
279956,Mana Well,1,4,Common,Other Consumables,spell_arcane_manatap,"Use: Constructs a mana well that allows you and others sitting nearby to regenerate [10][15][20][24][29] Mana every 5 sec, exclusive with Blessing of Wisdom.","1x Peacebloom, 1x Empty Vial",https://www.wowhead.com/forever/item=279956/mana-well
210708,Elixir of Coalesced Regret,20,25,Common,Other Consumables,inv_potion_19,Use: Allows the imbiber to speak with the corpse of an individual with unfinished business in the mortal world. Also may cure indigestion. (3 Sec Cooldown),"5x Stranglekelp, 1x Leaded Vial, 5x Grave Moss, 1x Soul Dust",https://www.wowhead.com/forever/item=210708/elixir-of-coalesced-regret
